NAME,SMILES,PROPERTY
DTXSID30841281,COC1=CC=CC=C1SC(F)(F)C(F)C(F)(F)F,1.52405E-05
DTXSID50623102,FC(F)(Cl)C(F)(F)C(F)(F)C(=O)OOC(=O)C(F)(F)C(F)(F)C(F)(F)Cl,2.25944E-06
DTXSID10821369,[O-][N+](=O)C1=CC=CC=C1C(F)(F)C(F)(F)F,0.000241546
DTXSID20292864,CC(C)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,9.57194E-06
DTXSID50448190,FC(F)(F)C(F)(F)C(F)(F)C1=CC=NC2=CC=CC=C12,2.95801E-06
DTXSID10630918,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,3.34965E-06
DTXSID80501348,FC1(F)C(=C(C1(F)F)C1(F)C(F)(F)C(F)(F)C1(F)F)C1(F)C(F)(F)C(F)(F)C1(F)F,6.06736E-06
DTXSID90505110,FC(F)(F)C(F)(C#N)C(F)(F)F,0.000416869
DTXSID30620694,FC1OC(F)(F)C(F)(F)C(F)(F)C1(F)F,8.8308E-05
DTXSID70547654,FC1=C(F)C(=C(C(F)=C1F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,5.11682E-07
DTXSID6042028,FC(Cl)C(F)(F)C(F)(F)Cl,0.000693426
DTXSID50681080,FC(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)F,3.17687E-07
DTXSID70343294,FC(F)(F)C#CC(F)(F)C(F)(F)F,0.000185353
DTXSID10850336,OC(C=CC1=CC=CC=C1)C(F)(F)C(F)(F)F,6.74528E-06
DTXSID70448576,FC(F)=C(F)C(F)(F)C(F)(F)I,0.000161436
DTXSID50342109,OC(=O)C1=CC(OC(F)(F)C(F)F)=CC=C1,0.000134277
DTXSID50521316,FC(F)(I)C(F)(F)OC(F)(F)C(F)(F)I,3.47536E-05
DTXSID40553323,COC1=C(C2=C(C=C1)C(=CC=C2)C(O)=O)C(F)(F)C(F)(F)F,3.6141E-06
DTXSID40143187,FC(F)C(F)(F)S(=O)(=O)C1=C(Cl)C(Cl)=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1,1.32434E-07
DTXSID60554473,[H]C12CC(C([H])(C1)C=C2)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.09537E-06
DTXSID00796638,NCC(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.40929E-05
DTXSID60865157,FC(F)=C(F)OC(F)(F)C(F)(OC1=C(F)C(F)=C(F)C(F)=C1F)C(F)(F)F,1.77419E-07
DTXSID50525031,COC(=O)CC(O)(O)C(F)(F)C(F)(F)C(F)(F)F,0.00150661
DTXSID6042026,FC(F)C(F)(Cl)C(F)(F)Cl,0.000561048
DTXSID50575056,OC(=O)C1=CC(SC(F)(C(F)(F)F)C(F)(F)F)=CC=C1,1.65196E-05
DTXSID20568672,FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.19996E-05
DTXSID1071080,CN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.1677E-06
DTXSID20519826,FC(F)(F)C(F)(F)N1SN1C(F)(F)C(F)(F)F,9.39723E-05
DTXSID10303796,FC(F)(F)C(=CC(=O)C1=CC=C(Cl)C2=CC=CC=C12)C(F)(F)F,4.89779E-07
DTXSID40243257,FC1(F)C(F)(F)C(Cl)(CC(=O)C2=CC=CC=C2)C1(F)F,1.06905E-05
DTXSID20750737,COC(=O)C1CCC(CC1)C(F)(F)C(F)(F)C(F)(F)F,1.27938E-05
DTXSID7073777,[O-][N+](=O)C1=CC(C#N)=C(NC(=O)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C=C1,2.72898E-07
DTXSID10855740,CC(=O)O[C@H]1CC[C@H]2[C@@H]3[C@H](CCCCCCCCCSCCCC(F)(F)C(F)(F)F)CC4=C(C=CC(O)=C4)[C@H]3CC[C@]12C,1.2942E-08
DTXSID80833696,CS(O)(=O)=O.OCC(F)(F)C(F)F,0.111944
DTXSID90335696,CCCOC(=O)C(F)(F)C(F)(F)F,0.000463447
DTXSID20379700,FC(F)C(F)(F)C(F)(F)C(F)(F)F,0.000152757
DTXSID80697215,OC(=O)C1=CN=C(Cl)N=C1C(F)(F)C(F)(F)F,0.000222331
DTXSID20767880,FC(F)(F)C(F)(F)C(F)(F)COC(=O)C(=C)C#N,5.42001E-05
DTXSID40617252,FC(C1=CC=C(Br)C=C1)C(F)(F)C(F)(F)F,3.7325E-06
DTXSID70556049,FC(F)(F)C(F)(F)C1=CC=CC2=CC=CC=C12,4.15911E-06
DTXSID30413664,FC(F)C(F)(F)COC(=O)C1=CC=C(Cl)C=C1,9.63829E-06
DTXSID60443914,CC1=C(C(C)=C(S1)C1=CC=CC=C1)C1=C(C2=C(C)SC(=C2C)C2=CC=CC=C2)C(F)(F)C(F)(F)C1(F)F,4.87529E-10
DTXSID50379930,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.30617E-06
DTXSID70184907,FC(F)(F)C(=CC(=O)C=C(C(F)(F)F)C(F)(F)F)C(F)(F)F,5.39511E-06
DTXSID40521305,CC(C)COP(=O)(OCC(C)C)C(F)(F)C(F)(F)C(F)(F)F,6.95024E-05
DTXSID20720713,FC(OC1=CC=C(C=C1)C(=O)C1=CN=CC=C1)C(F)(F)F,4.51856E-06
DTXSID50861163,CC1(C)C(C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,4.18794E-08
DTXSID80327626,CCOC(=O)NC(NC1=NC=CC=N1)(C(F)(F)F)C(F)(F)F,9.7051E-05
DTXSID70456712,FC1(F)C(F)(F)C(F)(F)C(F)(Cl)C1(F)F,0.000108643
DTXSID10574565,CCOC(=O)C(F)(F)OC(F)(F)C(F)(F)Cl,0.000254683
DTXSID60597784,O[Si](O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.93642E-07
DTXSID60607534,OC(=O)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.60325E-05
DTXSID00503960,FC(F)C(F)(F)C(F)(F)C(F)(F)COCl,7.97995E-05
DTXSID40380257,OC(=O)C=CC(F)(C(F)(F)F)C(F)(F)F,0.000363078
DTXSID2072049,OCC[NH2+]CCO.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.72063E-06
